From,To,X,Y,Z,Chains
Torso,HeadYaw,0.00,0.00,126.50,Head
HeadYaw,HeadPitch,0.0,0.0,0.0,Head
Torso,LShoulderPitch,0.0,98.0,100.0,LArm
LShoulderPitch,LShoulderRoll,0.0,0.0,0.0,LArm
LShoulderRoll,LElbowYaw,105.0,15.0,0.0,LArm
LElbowYaw,LElbowRoll,0.0,0.0,0.0,LArm
LElbowRoll,LWristYaw,55.95,0.0,0.0,LArm
Torso,RShoulderPitch,0.0,-98.0,100.0,RArm
RShoulderPitch,RShoulderRoll,0.0,0.0,0.0,RArm
RShoulderRoll,RElbowYaw,105.0,-15.0,0.0,RArm
RElbowYaw,RElbowRoll,0.0,0.0,0.0,RArm
RElbowRoll,RWristYaw,55.95,0.0,0.0,RArm
Torso,LHipYawPitch,0.0,50.0,-85.0,LLeg
LHipYawPitch,LHipRoll,0.0,0.0,0.0,LLeg
LHipRoll,LHipPitch,0.0,0.0,0.0,LLeg
LHipPitch,LKneePitch,0.0,0.0,-100.0,LLeg
LKneePitch,LAnklePitch,0.0,0.0,-102.9,LLeg
LAnklePitch,LAnkleRoll,0.0,0.0,0.0,LLeg
Torso,RHipYawPitch,0.0,-50.0,-85.0,RLeg
RHipYawPitch,RHipRoll,0.0,0.0,0.0,RLeg
RHipRoll,RHipPitch,0.0,0.0,0.0,RLeg
RHipPitch,RKneePitch,0.0,0.0,-100.0,RLeg
RKneePitch,RAnklePitch,0.0,0.0,-102.9,RLeg
RAnklePitch,RAnkleRoll,0.0,0.0,0.0,RLeg
,Torso,0,0,0,
LWristYaw,LHand,57.75,0,-12.31,LArm
RWristYaw,RHand,57.75,0.0,-12.31,RArm
